state_code,State,District,City,Population (%)
1,Jammu & Kashmir,Jammu,Jammu ,12.2
1,Jammu & Kashmir,Srinagar,Srinagar ,9.86
1,Jammu & Kashmir,Anantnag,Anantnag,8.6
1,Jammu & Kashmir,Baramula,Baramulla,8.04
1,Jammu & Kashmir,Kupwara,Kupwara,6.94
1,Jammu & Kashmir,Budgam,Khan Sahib,6.01
1,Jammu & Kashmir,Rajouri,Rajouri,5.12
1,Jammu & Kashmir,Kathua,Kathua,4.92
1,Jammu & Kashmir,Pulwama,Pulwama,4.47
1,Jammu & Kashmir,Udhampur,Udhampur,4.43
1,Jammu & Kashmir,Poonch,Poonch,3.8
1,Jammu & Kashmir,Kulgam,Kulgam,3.38
1,Jammu & Kashmir,Doda,Doda,3.27
1,Jammu & Kashmir,Bandigpore,Bandipora,3.13
1,Jammu & Kashmir,Samba,Abtal,2.54
1,Jammu & Kashmir,Reasi,Reasi,2.51
1,Jammu & Kashmir,Ganderbal,Ganderbal,2.37
1,Jammu & Kashmir,Ramban,Ramban,2.26
1,Jammu & Kashmir,Shupiyan,,2.12
1,Jammu & Kashmir,Kishtwar,,1.84
2,Himachal Pradesh,Kangra,Dharamshala,22
2,Himachal Pradesh,Mandi,Mandi,14.56
2,Himachal Pradesh,Shimla,Shimla ,11.86
2,Himachal Pradesh,Solan,,8.45
2,Himachal Pradesh,Sirmaur,,7.72
2,Himachal Pradesh,Una,,7.59
2,Himachal Pradesh,Chamba,,7.56
2,Himachal Pradesh,Hamirpur,Hamirpur,6.62
2,Himachal Pradesh,Kullu,Manali,6.38
2,Himachal Pradesh,Bilaspur,Bilaspur,5.56
2,Himachal Pradesh,Kinnaur,,1.23
2,Himachal Pradesh,Lahul & Spiti,,0.46
3,Punjab,Ludhiana,Ludhiana ,12.61
3,Punjab,Amritsar,Amritsar ,8.98
3,Punjab,Gurdaspur,,8.28
3,Punjab,Jalandhar,Jalandhar,7.91
3,Punjab,Firozpur,,7.31
3,Punjab,Patiala,Patiala ,6.83
3,Punjab,Sangrur,,5.97
3,Punjab,Hoshiarpur,,5.72
3,Punjab,Bathinda,Bathinda,5
3,Punjab,Tarn Taran,,4.04
3,Punjab,Chandigarh,Chandigarh,3.99
3,Punjab,Moga,,3.59
3,Punjab,Sahibzada Ajit Singh Nagar,,3.59
3,Punjab,Muktsar,,3.25
3,Punjab,Kapurthala,,2.94
3,Punjab,Mansa,,2.77
