state_code,State,Languages,Percentage (%)
1,Jammu & Kashmir,Kashmiri,53.27
1,Jammu & Kashmir,Hindi,20.83
1,Jammu & Kashmir,Dogri,20.04
1,Jammu & Kashmir,Punjabi,1.75
1,Jammu & Kashmir,Bhotia,0.86
1,Jammu & Kashmir,Tibetan,0.8
1,Jammu & Kashmir,Khandeshi,0.28
1,Jammu & Kashmir,Shina,0.25
1,Jammu & Kashmir,Marathi,0.18
1,Jammu & Kashmir,Nepali,0.17
1,Jammu & Kashmir,Urdu,0.16
1,Jammu & Kashmir,Bengali,0.158
1,Jammu & Kashmir,Gujarati,0.15
1,Jammu & Kashmir,Tamil,0.12
1,Jammu & Kashmir,Telugu,0.11
1,Jammu & Kashmir,Balti,0.09
1,Jammu & Kashmir,Malayalam,0.08
1,Jammu & Kashmir,Odia,0.07
1,Jammu & Kashmir,Assamese,0.066
1,Jammu & Kashmir,Ladakhi,0.06
1,Jammu & Kashmir,Kannada,0.05
1,Jammu & Kashmir,Lahnda,0.04
1,Jammu & Kashmir,Manipuri,0.02
2,Himachal Pradesh,Hindi,85.88
2,Himachal Pradesh,Punjabi,8.95
2,Himachal Pradesh,Nepali,1.3
2,Himachal Pradesh,Kinnauri,1.2
2,Himachal Pradesh,Kashmiri,0.83
2,Himachal Pradesh,Dogri,0.34
2,Himachal Pradesh,Tibetan,0.31
2,Himachal Pradesh,Lahauli,0.16
2,Himachal Pradesh,Gujarati,0.14
2,Himachal Pradesh,Bengali,0.09
2,Himachal Pradesh,Urdu,0.07
2,Himachal Pradesh,Maithili,0.06
2,Himachal Pradesh,Khandeshi,0.051
2,Himachal Pradesh,Marathi,0.05
2,Himachal Pradesh,Odia,0.04
2,Himachal Pradesh,Kurukh/Oraon,0.03
2,Himachal Pradesh,Bhotia,0.02
3,Punjab,Punjabi,89.81
3,Punjab,Hindi,9.35
3,Punjab,Urdu,0.09
3,Punjab,Bengali,0.08
3,Punjab,Nepali,0.079
3,Punjab,Marathi,0.07
3,Punjab,Dogri,0.06
3,Punjab,Gujarati,0.05
3,Punjab,Tamil,0.037
3,Punjab,Odia,0.036
3,Punjab,Malayalam,0.035
3,Punjab,Telugu,0.034
3,Punjab,Maithili,0.032
3,Punjab,Assamese,0.015
3,Punjab,Kannada,0.014
3,Punjab,Kashmiri,0.01
4,Uttarakhand,Hindi,89.15
4,Uttarakhand,Urdu,4.22
4,Uttarakhand,Punjabi,2.61
4,Uttarakhand,Bengali,1.49
4,Uttarakhand,Nepali,1.05
4,Uttarakhand,Maithili,0.54
4,Uttarakhand,Tibetan,0.1
4,Uttarakhand,Khandeshi,0.094
4,Uttarakhand,Bhotia,0.09
4,Uttarakhand,Nissi/Dafla,0.07
4,Uttarakhand,Marathi,0.06
4,Uttarakhand,Halam,0.05
4,Uttarakhand,Dogri,0.04
4,Uttarakhand,Gujarati,0.038
4,Uttarakhand,Odia,0.036
4,Uttarakhand,Telugu,0.032
4,Uttarakhand,Malayalam,0.031
4,Uttarakhand,Sindhi,0.028
4,Uttarakhand,Tamil,0.02
4,Uttarakhand,Bhili,0.01
5,Haryana,Hindi,88.05
5,Haryana,Punjabi,9.47
5,Haryana,Urdu,1.47
5,Haryana,Bengali,0.28
5,Haryana,Lahnda,0.12
5,Haryana,Maithili,0.1
5,Haryana,Nepali,0.07
5,Haryana,Odia,0.058
5,Haryana,Malayalam,0.057
5,Haryana,Marathi,0.05
5,Haryana,Tamil,0.04
5,Haryana,Telugu,0.03
5,Haryana,Gujarati,0.029
5,Haryana,Kashmiri,0.024
5,Haryana,Assamese,0.016
5,Haryana,Kannada,0.012
5,Haryana,Dogri,0.01
6,Delhi,Hindi,84.91
6,Delhi,Punjabi,5.2
6,Delhi,Urdu,5.16
6,Delhi,Bengali,1.28
6,Delhi,Maithili,0.73
6,Delhi,Malayalam,0.52
6,Delhi,Tamil,0.49
6,Delhi,Gujarati,0.24
6,Delhi,Odia,0.224
6,Delhi,Nepali,0.223
6,Delhi,Sindhi,0.18
6,Delhi,Marathi,0.16
6,Delhi,Telugu,0.15
6,Delhi,Kashmiri,0.1
6,Delhi,Kannada,0.059
6,Delhi,Assamese,0.05
6,Delhi,Dogri,0.03
6,Delhi,Lahnda,0.024
6,Delhi,Manipuri,0.023
6,Delhi,Kurukh/Oraon,0.01
7,Rajasthan,Hindi,89.38
7,Rajasthan,Bhili,5.24
7,Rajasthan,Punjabi,3.31
7,Rajasthan,Urdu,0.97
7,Rajasthan,Sindhi,0.56
7,Rajasthan,Bengali,0.11
7,Rajasthan,Gujarati,0.09
7,Rajasthan,Malayalam,0.035
7,Rajasthan,Marathi,0.03
7,Rajasthan,Odia,0.02
7,Rajasthan,Maithili,0.017
7,Rajasthan,Tamil,0.013
7,Rajasthan,Telugu,0.012
7,Rajasthan,Nepali,0.011
7,Rajasthan,Kannada,0.008
7,Rajasthan,Dogri,0.007
7,Rajasthan,Kashmiri,0.006
