state_code,State,District,City,Category,Sub-category,Micro-category,Product,Month
1,Andhra Pradesh,Chittoor,Chittoor,Bakery,Bakery products,Bread,Bread,
1,Andhra Pradesh,Chittoor,Chittoor,Vegetables,All season,Brinjal,Aruna Brinjal,
1,Andhra Pradesh,Chittoor,Chittoor,Vegetables,All season,Chillies,Jwala Chilli,
1,Andhra Pradesh,Chittoor,Chittoor,Grocery,Beverages,Coffee,Coffee,
1,Andhra Pradesh,Chittoor,Chittoor,Bakery,Bakery products,Cookies,Cookies,
1,Andhra Pradesh,Chittoor,Chittoor,Grocery,Household items,Dal,Arhar Dal,
1,Andhra Pradesh,Chittoor,Chittoor,Dairy products,Dairy products,Ghee,Pure Ghee,
1,Andhra Pradesh,Chittoor,Chittoor,Flowers,White flowers,Jasmine,Crepe Jasmine,
1,Andhra Pradesh,Chittoor,Chittoor,Dairy products,Dairy products,Milk,Liquid milk,
1,Andhra Pradesh,Chittoor,Chittoor,Meat,Red Meat,Mutton,Mutton,
1,Andhra Pradesh,Chittoor,Chittoor,Fruits,Citrus Fruits,Orange,Mandarin Orange,
1,Andhra Pradesh,Chittoor,Chittoor,Fruits,Citrus Fruits,Orange,Batavian Orange,
1,Andhra Pradesh,Chittoor,Chittoor,Dairy products,Dairy products,Paneer,Paneer,
1,Andhra Pradesh,Chittoor,Chittoor,Grocery,Household items,Rice,Sona Masuri Rice,
1,Andhra Pradesh,Chittoor,Chittoor,Fish,Freshwater,Murrel,Snakehead Murrel,
1,Andhra Pradesh,Chittoor,Chittoor,Fruits,Citrus Fruits,Sweet lime,Mosambi,
1,Andhra Pradesh,Chittoor,Chittoor,Vegetables,Seasonal,Tomato,Pusa Ruby Tomato,
1,Andhra Pradesh,Chittoor,Chittoor,Flowers,White flowers,Water Lily,White water Lily,
1,Andhra Pradesh,Guntur,Guntur,Fruits,All season,Banana,Rasthali Banana,
1,Andhra Pradesh,Guntur,Guntur,Bakery,Bakery products,Bread,Bread,
1,Andhra Pradesh,Guntur,Guntur,Vegetables,All season,Brinjal,Aruna Brinjal,
1,Andhra Pradesh,Guntur,Guntur,Bakery,Bakery products,Cakes,Cakes,
1,Andhra Pradesh,Guntur,Guntur,Vegetables,Seasonal,Chillies,Guntur Chilli,
1,Andhra Pradesh,Guntur,Guntur,Dairy products,Dairy products,Ghee,Pure Ghee,
1,Andhra Pradesh,Guntur,Guntur,Flowers,White flowers,Jasmine,Coral Jasmine,
1,Andhra Pradesh,Guntur,Guntur,Fruits,Seasonal,Mango,Banganapalli Mango,
1,Andhra Pradesh,Guntur,Guntur,Dairy products,Dairy products,Milk,Liquid milk,
1,Andhra Pradesh,Guntur,Guntur,Meat,Red Meat,Mutton,Mutton,
1,Andhra Pradesh,Guntur,Guntur,Fruits,Citrus Fruits,Orange,Mandarin Orange,
1,Andhra Pradesh,Guntur,Guntur,Dairy products,Dairy products,Paneer,Paneer,
1,Andhra Pradesh,Guntur,Guntur,Fish,Seawater,Prawns,Prawns,
1,Andhra Pradesh,Guntur,Guntur,Grocery,Household items,Rice,Sona Masuri Rice,
1,Andhra Pradesh,Guntur,Guntur,Grocery,Beverages,Tea,Tea,
1,Andhra Pradesh,Guntur,Guntur,Vegetables,Seasonal,Tomato,Pusa Ruby Tomato,
1,Andhra Pradesh,Guntur,Guntur,Flowers,White flowers,Water Lily,White water Lily,
1,Andhra Pradesh,Guntur,Guntur,Grocery,Household items,Wheat,Wheat,
1,Andhra Pradesh,Krishna,Vijayawada,Fruits,Seasonal,Mango,Banganapalli Mango,
